,Domain,Phylum,Class,Order,Family,Genus
vOTU_4491,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_4508,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_4532,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_4549,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_4563,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_4581,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_4597,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_4604,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_4637,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_4639,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_4647,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_4714,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_4735,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_4737,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_4745,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_4753,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_4768,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_4805,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_4892,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_4900,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_4905,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_4973,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_5050,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_5059,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_5062,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_5065,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_5073,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_5092,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_5121,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_5129,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_5133,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_5138,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_5141,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_5145,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_5170,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_5185,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_5252,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_5258,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_5312,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_5321,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_5323,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_5341,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_5346,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_5360,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_5368,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_5371,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_5386,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_5396,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_5435,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_5544,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
