"","Domain","Realm","Kingdom","Phylum","Class","Order","Family"
"vOTU_1044","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_1046","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_1056","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_1061","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_1062","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_1063","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_1064","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_1067","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_1068","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_1069","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_1071","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_1073","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_1075","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_1082","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_1084","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_1088","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_1099","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_1100","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_1103","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
