vOTU	CMS1	CMS10	CMS11	CMS12	CMS13	CMS14	CMS15	CMS16	CMS17	CMS18	CMS19	CMS2	CMS20	CMS21	CMS22	CMS23	CMS24	CMS25	CMS26	CMS27	CMS28	CMS29	CMS3	CMS30	CMS31	CMS32	CMS33	CMS34	CMS35	CMS36	CMS37	CMS38	CMS39	CMS4	CMS40	CMS41	CMS44	CMS45	CMS47	CMS48	CMS5	CMS6	CMS7	CMS8	CMS9	PRE129	PRE174	PRE177	PRE180	PRE181	PRE182	PRE183	PRE185	PRE186	PRE187	PRE189	PRE190	PRE191	PRE192	PRE193	PRE194	PRE195	PRE196	PRE197	PRE198	PRE199	PRE200	PRE203	PRE204	PRE205	PRE207	PRE208	PRE210	PRE211	PRE212	PRE214	PRE237	PRE238	PRE239	PRE327	PRE328	PRE329	PRE330	PRE331
vOTU_56657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.770671289	0	1.329215719	2.000605893	16.98916972	6.096545325	9.909533019	10.71331155	7.495887641	7.954552314	5.350576217	4.177781208	0	0	0	0	0	0	0	0	0	0	0	0	0	262.9238463	0	0	0	15.51656794	0	0	0	0	4.522904009	0	9.688984054	8.026596093	0	0	0	9.452358764	0	55.687994	4.82229948	0	0	12.02294168	0	0	0	5.471944432	0	11.33256584	15.63845482	21.16492673	42.52992128	55.69232799	0	0	0	8.652112917	0
vOTU_56702	0	0.455535107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.553334871	0	0	4.490266499	0	0	0	0	0	0	7.806856189	0	0	0	4.824860446	0	10.23010881	0	0	0	11.14691914	0	25.22447541	0	0	0	0	0	0	0	0	0	0
vOTU_56749	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.753498644	0	1.981154056	0	1.330628276	2.002731936	13.36281893	2.288634045	18.42297576	12.06528365	9.504881119	0.884778401	8.927103783	7.604038059	0	1.271106037	0	0	36.17257938	0	0	0	0	0	0	0	0	231.8695344	0	0	0	23.29958608	0	0	0	0	0	0	9.69928053	0	0	0	0	0	0	46.45597799	9.654848268	0	0	6.017859224	15.46388442	0	0	5.477759463	0	0	15.65507379	38.52257943	250.1288171	27.87575609	0	0	0	0	0
vOTU_56789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48.56494507	0	0	76.41569426	0	0	0	0	0	0	49.49599395	0	0	9.296135096	0	0	55.30132502	0	0	0	78.11139883	0	32.46595161	0	0	0	0	0	0	0	0	0	0
vOTU_56792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
vOTU_56851	0	0	151.2235493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.35185943	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
vOTU_56910	0	0	0	0	0	49.68994915	0	0	0	0	0	8.804309288	0	0	131.5529028	0	0	2.897572532	0	2.265310621	0	0	3.938741382	3.333656037	0	0	32.87362419	41.18494189	35.60122421	34.08992394	43.44648275	28.62757712	19.43159694	0	78.97643068	0	0	0	0	0	89.621465	11.97417157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
vOTU_56934	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43.52225908	0	0	18.00888566	0	0	0	0	0	0	23.48292365	0	0	0	0	0	36.92644386	0	0	0	25.14734274	0	7.226180922	0	0	0	0	0	0	0	0	0	0
vOTU_56937	20.51874812	39.28032169	10.0475361	35.34059095	0	0	0	96.49913855	250.1498805	0	78.80634235	6.288792349	0	0	65.77645141	0	58.41868089	0	16.32261934	7.551035404	0	0	976.8078626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.20436008	227.5092599	21.02408291	26.27687823	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.102938207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
vOTU_56942	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
